name;stars;contributors;commits;sbom_code;URL;path;dependencies;licenses;critical;high;medium;low;quality;format;version
github.com/sthagen/putki;0;0;0;jc6fjjcv01v0l9d7qkwr.json;https://github.com/sthagen/putki/blob/ddfccb8fb6cf8fcd90ea5873c3d32dd3d1b95de5/etc/sbom/cdx.json;etc/sbom/cdx.json;4;0;0;1;0;0;5.65;JSON;CycloneDX
github.com/sthagen/sammen;1;0;0;4kjn71zxiqcwviah6h3v.yaml;https://github.com/sthagen/sammen/blob/885ce75469a3ee38db7c954b430402f10ac02231/etc/sbom/spdx.yaml;etc/sbom/spdx.yaml;1;0;0;0;0;0;6.96;YAML;SPDX
github.com/sthagen/sammen;1;0;0;qmtbb4s46esgtutop6s3.json;https://github.com/sthagen/sammen/blob/885ce75469a3ee38db7c954b430402f10ac02231/etc/sbom/spdx.json;etc/sbom/spdx.json;1;0;0;0;0;0;6.96;JSON;SPDX
github.com/sthagen/sammen;1;0;0;34odfeu5hpqy756vm4zp.spdx;https://github.com/sthagen/sammen/blob/885ce75469a3ee38db7c954b430402f10ac02231/etc/sbom/spdx.spdx;etc/sbom/spdx.spdx;0;0;0;0;0;0;6.96;SPDX;SPDX
github.com/sthagen/sammen;1;0;0;uo1dao00h3jexs8ba5d3.json;https://github.com/sthagen/sammen/blob/885ce75469a3ee38db7c954b430402f10ac02231/etc/sbom/cdx.json;etc/sbom/cdx.json;1;0;0;0;0;0;5.65;JSON;CycloneDX
github.com/sthagen/sbom;6;0;0;d20prb9q3rhwfan46t6x.yaml;https://github.com/sthagen/sbom/blob/45bd81486836fefd1df24e474f0778549bb4a12a/etc/sbom/spdx.yaml;etc/sbom/spdx.yaml;7;0;0;0;0;0;6.96;YAML;SPDX
github.com/sthagen/sbom;6;0;0;ok590ad008z53e2e2rqm.json;https://github.com/sthagen/sbom/blob/45bd81486836fefd1df24e474f0778549bb4a12a/etc/sbom/spdx.json;etc/sbom/spdx.json;7;0;0;0;0;0;6.96;JSON;SPDX
github.com/sthagen/sbom;6;0;0;xtpn4b2evx4ysvvc1xhf.spdx;https://github.com/sthagen/sbom/blob/45bd81486836fefd1df24e474f0778549bb4a12a/etc/sbom/spdx.spdx;etc/sbom/spdx.spdx;0;0;0;0;0;0;6.96;SPDX;SPDX
github.com/sthagen/sbom;6;0;0;dy02nn4dxrs5fzk4g56z.json;https://github.com/sthagen/sbom/blob/45bd81486836fefd1df24e474f0778549bb4a12a/etc/sbom/cdx.json;etc/sbom/cdx.json;7;0;0;0;0;0;5.65;JSON;CycloneDX
github.com/sthagen/sixties;1;0;0;bspdvttislxijk69zi1n.yaml;https://github.com/sthagen/sixties/blob/303fff7b07f674df447eac8f09b8f36984b7bb1d/etc/sbom/spdx.yaml;etc/sbom/spdx.yaml;1;0;0;0;0;0;6.96;YAML;SPDX
